Sentence;Ironic;Quotes;Exclamation;Question;Multiple brackets;Interjections;Markers;Mistakes;P&N;P near N;Max vec dist;Max vec sg dist;Weird markers
А бесплатные энергия и интернет?;1;0;0;1;0;0;0;0;0;0;0.0282962946340324;0.2588491439819336;0
А тут еще возникло непредвиденное осложнение – белых людей переквалифицировать в дешевую рабочую силу не представлялось возможным (всех убили), а черные рабы не для того стояли на майдане, чтобы тяжко работать.;1;0;0;0;0;0;0;0;1;0;0.1539459650942957;0.5955262184143066;0
На фото ниже обычный финский поселок в Заполярье.;0;0;0;0;0;0;0;0;0;0;0.094709942167398;0.4301991462707519;0
Полная защита от вирусов и микробов, не страшна любая толпа.;0;0;0;0;0;0;0;0;1;0;0.1288013910140099;0.539559006690979;0
Заносит, аки ламборджини с пьяным подростком за рулем.;1;0;0;0;0;0;0;0;0;0;0.0865139871804243;0.4683440923690796;0
А говорят работы нет за нормальные деньги.;1;0;0;0;0;0;1;0;0;0;0.045017014633928;0.5053606033325195;0
- Может, сделаем глубокий вдох и успокоимся?;0;0;0;1;0;0;0;0;0;0;0.1234952037554719;0.5103569030761719;0
Никогда такого не было и вот опять…;1;0;0;0;0;0;0;0;0;0;0.0577953280075972;0.0;0
Никто не знал, когда доблестным ВСУ придет в голову сбить очередной гражданский борт.;0;0;0;0;0;0;0;0;1;0;0.0804651559636308;0.5252493619918823;0
Пародия на «Форсаж», «Код Да Винчи» и другие блокбастеры с оглушающее смешной озвучкой «Comedy Club» Россия.;1;0;0;0;0;0;0;0;1;1;0.1659137859131642;0.5150958299636841;0
Запомни ,ты - лавина тестостерона, которую ничто не оставит (кроме горячей самочки) Самое главное, будь уверен в себе и тогда-то у тебя всё получится);1;0;0;0;0;0;0;1;1;0;0.0979946116592979;0.5257800221443176;0
— Да уж, все курильщики особенные.;1;0;0;0;0;0;0;0;0;0;0.0396200570311553;0.0;0
"Страна должна знать своих ""хероев"".";1;1;0;0;0;0;0;1;0;0;0.0821578380318278;0.3600557446479797;0
Я показал ему свой идеальный вариант – купол.;0;0;0;0;0;0;0;0;0;0;0.1228847072511359;0.4366652369499206;0
Кстати, один из преподавателей курса — Николай Дыбовский — руководит студией Ice-Pick Lodge, которая разработала видеоигру «Мор (Утопия)».;0;0;0;0;0;0;0;1;1;0;0.2167421391348801;0.6111738681793213;0
А вот кошки любили, да... Тут очень важно соблюсти дисбаланс между изначальной слабостью и отсутствием навыков и эпической божественной мощью, которая должна демонстрироваться по поводу и без.;1;0;0;0;0;0;1;0;1;0;0.1357056688602993;0.6361563801765442;0
Думаю, может развод какой опять?;1;0;0;1;0;0;0;0;1;1;0.1230596769410328;0.3952720761299133;0
"Бледные стюардессы кружили вокруг аэродрома больше часа и кричали ""А-А-А"" 3.";1;0;0;0;0;0;0;1;0;0;0.1691109124276356;0.5014815330505371;0
Для взрослых, которые злятся на ребёнка».;0;0;0;0;0;0;0;0;0;0;0.0674445424604742;0.3502158522605896;0
Может, кабачок — это заразно и передается воздушно-капельным путем?;1;0;0;1;0;0;0;0;1;0;0.107148924937328;0.5513516664505005;0
Продам картину в геометрическим стиле.;0;0;0;0;0;0;0;1;0;0;0.0565737443282576;0.3896597623825073;0
Естественно, по закону рыночных отношений спрос рождает предложение, и вот тут появляется наш инициативный Герой.;1;0;0;0;0;0;0;0;0;0;0.1366343482619677;0.6056246757507324;0
Я уж хотел попросить его ускориться, что опоздаем, но тут у него зазвонил телефон.;0;0;0;0;0;0;0;0;0;0;0.0531219379545973;0.5600807666778564;0
Соответственно, себестоимость различных систем корабля резко увеличилась.;0;0;0;0;0;0;0;0;0;0;0.052326266735728;0.4637175798416137;0
Церковь - двигатель прогресса;1;0;0;0;0;0;0;0;0;0;0.0413631997432955;0.4451311826705932;0
Русский язык международным языком общения сделают!;1;0;1;0;0;0;0;0;0;0;0.1263550985309841;0.5780490636825562;0
А я-то наивный, весь обезмудисанный, сижу на попе ровно и жду пока экономика рухнет, заедаю технический спирт жаренной ежатиной, вместо эрдогадских помидоров, а тут вон оно чо!;1;0;1;0;0;0;0;1;0;0;0.1598833499334222;0.593464195728302;0
Появилось реальное доказательство, что в Крыму пустые пляжи!;1;0;1;0;0;0;0;0;0;0;0.1651677125536442;0.6027631163597107;0
"И когда я читаю комментарий вроде ""Человек, который не платит за медицину - не знает цены собственного здоровья"" (#comment_129662834), мне сразу хочется залезть на транспортное средство, сделать умное лицо и толкать эту идеологию в массы.";1;0;0;0;0;0;0;0;1;0;0.1662943066520322;0.6585338115692139;0
Просто потому, что рабы имели скверную привычку дохнуть на плантациях и в шахтах как мухи – сокращая численность рабочих рук на 10% ежегодно.;1;0;0;0;0;0;0;1;0;0;0.1250446659554156;0.636574387550354;0
Почему по российским городам, где они будут гонять мяч, убивают бездомных собак?;0;0;0;1;0;0;0;0;0;0;0.2857145425125282;0.5617421865463257;0
И разлилась тогда вода из ведра по всей Земле, и затопило ее всю.;0;0;0;0;0;0;0;0;0;0;0.1323538843049259;0.4885187149047851;0
За 14 лет пребывания у власти Дювалье «пропало без вести» (читай - уничтожено) более 50 тысяч человек, более чем 300 тысячам пришлось эмигрировать.;1;0;0;0;0;0;0;0;1;1;0.1608808056200749;0.6128880977630615;0
Первый седой волос на голове появился уже через день, второй – сразу же за первым.;1;0;0;0;0;0;0;0;0;0;0.0914164424436581;0.520758867263794;0
Наш первый множественный сарказм случился в первую же встречу.;0;0;0;0;0;0;0;1;0;0;0.135969637255308;0.4215244054794311;0
Женский концентрированней, но его легче достать.);1;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;0.0;0
Европейские политики предлагают называть новый пакет антироссийский санкций именем Лехаима, чтобы русский народ наконец-то понял, как он печется и заботится о России.;1;0;0;0;0;0;0;0;1;0;0.3125852080016204;0.6263188123703003;0
Замазал логотип сайта, боюсь, что посчитают пост за рекламу;0;0;0;0;0;0;0;1;0;0;0.0887927420261409;0.6669692397117615;0
Где его благополучно (в 2014 году) поместили под домашний арест и обвинили – неожиданно! – в коррупции.;1;0;1;0;0;0;0;0;1;1;0.1206817659322802;0.5174646377563477;0
В одной стране случилось Великое Зло.;0;0;0;0;0;0;0;0;0;0;0.1051641801190695;0.4178921580314636;0
Например, один из них голодал почти 120 дней, не обращая внимание на предлагаемое ему мясо из Тамбова, Ярославля, Оренбурга и Саратова, но с удовольствием ел аналогичные продукты из Полтавы, Крыжополя, Бердичева и Жмеринки.;0;0;0;0;0;0;0;0;1;0;0.2419892563770239;0.646354615688324;0
(Видеомем);0;0;0;0;0;0;0;1;0;0;-2.220446049250313e-16;0.0;0
Чем больше эмоций, тем лучше!;1;0;1;0;0;0;0;0;0;0;0.0;1.1920928955078125e-07;0
И это Финляндия!;1;0;1;0;0;0;0;0;0;0;0.0;0.0;0
Что происходит?;0;0;0;1;0;0;0;0;0;0;-2.220446049250313e-16;0.0;0
Давайте делать это больше и чаще.;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Нет это не так!;1;0;1;0;0;0;0;0;0;0;0.0;0.0;0
Не нужно верить в свой народ, а тем более в свою страну.;1;0;0;0;0;0;0;0;0;0;0.0861813652198665;0.1610398888587951;0
На него возлагается большая ответственность – достичь «Райта» и он не в силах опровергнуть надежду всех жителей «Долины».;0;0;0;0;0;0;0;0;0;0;0.1082026334985463;0.5807474255561829;0
В носовой части снаряда имеются 4 управляющих крыла, в хвостовой части находится 8-лопастный стабилизатор.;0;0;0;0;0;0;0;0;0;0;0.096484681890967;0.5251478552818298;0
Увы, эта часть тела мне больше не принадлежит, а является семейным достоянием, как холодильник, автомобиль или ипотека.;1;0;0;0;0;0;0;0;1;0;0.1026683242732227;0.6105629205703735;0
Из вот этого деревянного сарая отдаются все военные распоряжения высшего командного руководства России.;1;0;0;0;0;0;0;0;0;0;0.1112076080019355;0.5852699279785156;0
Русские никогда не умели делать хорошие проходимые машины.;0;0;0;0;0;0;0;1;1;0;0.1118894101013255;0.2638123631477356;0
Ты знаешь, люди порой бывают довольно сентиментальны и полны сопереживания, особенно если это касается историй о несчастной любви (на этом потом довольно удачно спекулировал некто У. Шекспир).;1;0;0;0;0;0;0;0;1;1;0.0929794731293983;0.6066993474960327;0
для неадекватов просьба читать теги;0;0;0;0;0;0;0;1;1;0;0.0679472673903914;0.4648470282554626;0
Оплот свободы потихоньку погружался в авторитарное варварство и прекращал быть авангардом мировой либеральной мысли.;1;0;0;0;0;0;0;0;1;0;0.1078878518072294;0.560001790523529;0
Одновременно, Бран внушает Джону Сноу и его подруге Дейнерис – мысль о неминуемой угрозе зомби-апокалипсиса.;0;0;0;0;0;0;0;1;1;0;0.0951038997549982;0.5035908818244934;0
Но продолжим романтику, пройдя через этот унылый парк и мимо дешёвенькой обветшалой спортивной школы, из атлетического зала которой в местные подпольные организации протеиновых алкоголиков унесен не один блин, а ещё римская скамья, скоты, пришлось тогда день тренировок пропустить.;0;0;0;0;0;0;0;0;1;1;0.1581703535205293;0.6381603479385376;0
Может об оленеводах Якутии что-то было?;0;0;0;1;0;0;0;0;0;0;0.1377429047651049;0.5848137140274048;0
Прибывшая бригада первым делом воткнула обезболивающее, а вторым предложила собирать вещи.;0;0;0;0;0;0;0;0;0;0;0.0881012258931253;0.5072815418243408;0
Сколько можно насчитать смыслов этого вроде простого и для многих страшного слова?;0;0;0;1;0;0;0;0;0;0;0.1142078337383506;0.2125589847564697;0
Определитесь уже, вам дежурную дырку на ночь надо, или спутника жизни.;0;0;0;0;0;0;0;0;0;0;0.0802756626680702;0.5046606063842773;0
Давайте и мы, братцы, положим асфальт этот треклятый так, чтобы лет тридцать потом не ремонтировать.;1;0;0;0;0;0;0;0;0;0;0.1230749966519735;0.4677284359931946;0
- Тебе надо в хозтовары, огнетушители там, а здесь продовольственный, - без тени улыбки посоветовал я.;1;0;0;0;0;0;0;0;0;0;0.0708527573253287;0.4435740709304809;0
Нобелевский лауреат - это сильно!;1;0;1;0;0;0;0;0;0;0;0.029412523279363;5.960464477539065e-08;0
Понятное дело, что за ее организацию никто на воротах повешен не был, за исключением трехлетнего сына второго Недимона, по прозвищу «Ворёнок», который, по-видимому эту самую смуту и замутил…;1;0;0;0;0;0;0;1;1;0;0.1367550439899409;0.6093658208847046;0
Поняла, шалава.;0;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;0.0;0
"Рос на тех же ""ну погоди, морозко, ералаш, мультфильмы ""карусель"", хоть и в Ташкенте.";0;0;0;0;0;0;0;0;0;0;0.1179094719522134;0.5835233330726624;0
http://pikabu.ru/story/nemnogo_o_pikabu_5134534#comments;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Особенно впечатляет уже то, что этот мудис, пытаясь воплотить в жизнь свои экономические теории, сам обанкротился еще в 2013 году, задолжав кредиторам около 10 миллионов баксов.;1;0;0;0;0;0;0;2;1;0;0.1780657390571527;0.6637134552001953;0
Стыдно, товарищи.;1;0;0;0;0;0;0;0;1;1;0.0;1.1920928955078125e-07;0
А в ответ тишина.;0;0;0;0;0;0;0;0;0;0;0.0386876710812524;0.2760059237480163;0
"И ""Распродажа"".";1;0;0;0;0;0;0;0;0;0;1.1102230246251563e-16;1.1920928955078125e-07;0
Морская вода, Карл!;0;0;1;0;0;0;0;0;0;0;0.085899331278221;0.2905269861221313;0
Остальное время простой человек должен страдать и работать, чтобы на заработанное покупать разрешенные радости.;1;0;0;0;0;0;0;0;1;0;0.101472128512058;0.4069172143936157;0
Сколько бы вариантов я ему ни предлагала, ответ был один, ждите 2 числа или отменяйте заказ.;0;0;0;0;0;1;1;0;0;0;0.1021342850801947;0.5675562620162964;0
Ведь доехать от «Сухаревской» до «Китай-города», чтобы посмотреть на пусю-сюсечку, для моей мамы сравнимо с преодолением межгалактического пространства в два миллиона световых лет.;1;0;0;0;0;0;0;1;0;0;0.1830715409908331;0.6376663446426392;0
— Я не смогу одна.;0;0;0;0;0;0;0;0;0;0;0.0584210958693732;0.0;0
Четыре всадника уж здесь: Болезнь нам грипп несёт, Войну за нефть ничто не остановит в мире, На полках и в умах царит голодный год, Гвоздь в крышку гроба:;0;0;0;0;0;0;0;0;1;0;0.3959626903026433;0.6515635251998901;0
Вместе с американской напарницей российский полицейский начинает погоню за новым Джеком Потрошителем.;0;0;0;0;0;0;0;1;1;1;0.132493640407951;0.6450671553611755;0
Не болит - отвечаю - Только людей немножко сбиваю на пути.;1;0;0;0;0;0;0;1;0;0;0.0647655601171052;0.5257359743118286;0
Выходите к протестующим и объясняйте уже каждому недовольному вне зависимости от его цвета кожи - вся ярость от неудовлетворенности уровнем жизни, отсутствия возможности для самореализации, полицейского беспредела, низких доходов, живодерской системы здравоохранения, или же притеснения по цвету кожи - это всё навязано коварным востоком.;1;0;0;0;0;0;0;1;1;1;0.131947178679886;0.7561537027359009;0
- абсолютно искренне предложил я.;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Не может этого быть!;1;0;1;0;0;0;0;0;0;0;-2.220446049250313e-16;5.960464477539065e-08;0
Интеллектуальную элиту страны составляют вольные, свободные люди – бандюки, шаманы Вуду, драгдилеры и менты.;1;0;0;0;0;0;0;1;0;0;0.3212800336781836;0.6930164098739624;0
Истерика на два дня на тему какой я мудак.;0;0;0;0;0;0;0;0;0;0;0.1376912058092649;0.4593625068664551;0
"Если заменить на ""-Конечно плоская, просто рептилоиды с нибиру это скрывают"" - вот это уже сарказм.";1;0;0;0;0;0;0;0;0;0;0.0677425744701321;0.3401528000831604;0
Живодер, хренов!;1;0;1;0;0;0;0;0;0;0;0.0;0.0;0
К карантину готов;0;0;0;0;0;0;0;0;1;1;0.0;1.1920928955078125e-07;0
А не взять ли мне;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Читая про средства индивидуальной защиты при эпидемии подумалось -- лучший вариант -- скафандр.;1;0;0;0;0;0;0;0;1;0;0.0844336820544042;0.5593113899230957;0
Горбачев на фоне взорвавшегося Чернобыля: Наши новые атомные станции стали гораздо более безопасными (1986 год);1;0;0;0;0;0;0;0;1;0;0.1131131440879815;0.5690779685974121;0
Бабка с дедом как стояли, так и сели на диван.;0;0;0;0;0;0;0;0;0;0;0.1117759395456445;0.4798133969306946;0
Дмитрий Свиридов;0;0;0;0;0;0;0;0;0;0;0.0414879382139052;1.1920928955078125e-07;0
( https://polit.info/360914-simvolichnaya-reforma-ekspert-obya... );0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
- Хрен с тобой, - вздохнули мы со здравым смыслом, - говори.;0;0;0;0;0;0;0;0;0;0;0.1404161899377112;0.4380136728286743;0
Я считаю, что она должна и дальше бороться с этой чумой XXI века (игроманией)!;1;0;1;0;0;0;0;0;0;0;0.1527662366531165;0.5461031794548035;0
Нет препятствий патриотам ©;0;0;0;0;0;0;0;0;1;1;0.0191992014760656;0.3061522245407104;0
Аж трясёт мимо такого идти, а они ничего, улыбаясь садятся в будку, включают там радио и под задорное пение Олега Газманова сизый трактор увозит их в неизвестные дали и только приятный запах продуктов горения дизельного топлива тает в воздухе.;1;0;0;0;0;0;0;1;0;0;0.1172344268993708;0.7324257493019104;0
Даже показали кадр начала строительства Зенит-арены.;0;0;0;0;0;0;0;0;0;0;0.0799460235874449;0.4775583744049072;0
Тиран допрыгался!;1;0;1;0;0;0;0;0;0;0;0.0313217060551042;0.3024250268936157;0
Упала наша зарплатушка вполовину.;0;0;0;0;0;0;0;0;0;0;0.0859862936249856;1.1920928955078125e-07;0
Тех, кто будет упорствовать в своей ереси, можно расстреливать или сжигать, благо ООН и Совет по правам человека разумно не будут поднимать скандал.;1;0;0;0;0;0;0;0;1;0;0.1927855112547555;0.5781852602958679;0
Камера показывает старый Арракис, куда перезжает винтажно одетая семья Атрейдесов.;0;0;0;0;0;0;0;2;0;0;0.0916171290912805;0.4271886944770813;0
А вместе с тем вернулась романтика тёплых вечеров: сквозь распахнутое окно в комнату врываются нецензурные серенады местных алкашей в аккомпанементе завывающей автомобильной сигнализации, дополненные терпким ароматом табачного дыма, который удушливой волной разливается с прохладным дуновением ветерка.;1;0;0;0;0;0;0;2;1;1;0.159803382989516;0.7081276178359985;0
Мне кажется их где-то специально готовят.;0;0;0;0;0;0;0;0;0;0;0.0299848853995919;0.4111218452453613;0
Что ж, господа @Kosh82, @garik23, @proektura, @jogray , @PogodaevK и пр. (первые 4 автора в поиске по тегу США), маскироваться лучше надо было!;1;0;1;0;0;0;0;1;0;0;0.1851024302390748;0.6554388999938965;0
Народ, как мне кажется, у нас большей частью сознательный, #сидимдома значит #сидимдома, но пояснения, это по моему уже бред…;0;0;0;0;0;0;0;0;0;0;0.2013359534635833;0.5365827679634094;0
Городов.;0;0;0;0;0;0;0;0;0;0;-2.220446049250313e-16;1.1920928955078125e-07;0
Что за дискриминация?;0;0;0;1;0;0;0;0;0;0;0.0;5.960464477539065e-08;0
Фоткал я и моя жена);0;0;0;0;0;0;0;0;0;0;0.1097942879648801;0.3881630301475525;0
Лето умер;0;0;0;0;0;0;0;0;1;1;0.0324452482411689;0.2605469226837158;0
Всем добра и больше линукса :-);0;0;0;0;0;0;0;0;0;0;0.0844740123117033;0.0;0
Всегда мечтал работать по выходным и задерживаться допоздна на работе без какой-либо сверхурочной оплаты;1;0;0;0;0;0;0;0;1;0;0.074055572001533;0.474381685256958;0
Музыка.;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Всем доход от природных ресурсов выплачивать станут.;1;0;0;0;0;0;0;0;0;0;0.0949827061709857;0.5673475861549377;0
— Это ж бля премия Чаплина!;0;0;1;0;0;0;0;0;0;0;0.0349122816730003;0.2824478149414062;0
Дикие люди!;1;0;1;0;0;0;0;0;0;0;0.0575010808085112;1.1920928955078125e-07;0
В общем, пушистый друг меня сильно озадачил.;1;0;0;0;0;0;0;0;0;0;0.1102930390509108;0.3421719074249267;0
Описание - Стив Николс приезжает в Москву заключить контракт.;0;0;0;0;0;0;0;0;0;0;0.1429375136274822;0.5441473722457886;0
https://echo.msk.ru/blog/alex_melnikov/2156042-echo/;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Сейчас на взлетной полосе этого «аэродрома» иногда проводят автомобильные гонки.;1;1;0;0;0;0;0;0;0;0;0.0596759399737943;0.5028595924377441;0
И что с тобой делают?;0;0;0;1;0;0;0;0;0;0;0.0;1.1920928955078125e-07;0
Сначала я хотела писать эту историю якобы от лица подруги, но потом решила, что уж там скромничать!;0;0;1;0;0;0;0;0;0;0;0.0842446748854187;0.5018526315689087;0
"""Рашка разваливается"" - ""цена пробивает дно""";0;0;0;0;0;0;0;0;0;0;0.1227174041894548;0.487004280090332;0
"Короче, стаффы, питы и прочие якобы ""собаки-убийцы"" нервно курят в стороне, завистливо вздыхая.";1;1;0;0;0;0;0;2;0;0;0.1000322974773931;0.404374361038208;0
Стыд и позор, товарищи бюрократы с научными степенями и СТО головного мозга.;1;0;0;0;0;0;0;0;1;1;0.1404685778984572;0.5719729661941528;0
Денег Яков всем заработал.;1;0;0;0;0;0;0;0;0;0;0.1617973198051672;0.4467589855194092;0
Мол, а нафига ты пишешь (музыку, картины, романы) - за это ж все равно не платят!;1;0;1;0;0;0;0;1;1;0;0.0973426050413519;0.511949896812439;0
Весело, но еще веселее - он настолько похож на Макаревича, что как тут не сфотографироваться, на память.;0;0;0;0;0;0;0;0;0;0;0.0342759711151314;0.2947275638580322;0
Времена настают тяжелые и только от нас зависит выстоит ли наша любимая страна во главе с нашим любимым руководителем.;1;0;0;0;0;0;0;0;1;1;0.1206234810688693;0.5602329969406128;0
Требовать вернуть нам места поклонения Богу Музеев, требовать вернуть места обучения и преклонения наших юных послушников Богу Школы.;1;0;0;0;0;0;0;0;0;0;0.1253957388078138;0.5443015098571777;0
Целее будешь.;0;0;0;0;0;0;0;1;0;0;0.0;0.0;0
Реальный факт: у гиен тестостероновые бабы, а не мужики.;0;0;0;0;0;0;0;1;0;0;0.1422094591346099;0.5470015406608582;0
Неужели я дошел, дополз, доковылял и потратив свои силы и подарю уже себе этот гребаный планшет.;1;0;0;0;0;0;0;1;1;0;0.1501776136714285;0.6299949884414673;0
Не силён в математике, но, похоже, что на замощение 1 км дороги укладывали 2 тонны золота 999 пробы.;1;0;0;0;0;0;0;1;0;0;0.3982161184354957;0.5901507139205933;0
И то я думаю только по тому что в каждой городской новости про дороги в комментариях всплывала эта яма и наш любимый Гомельоблдорстрой.;0;0;0;0;0;0;0;0;0;0;0.2459288098996229;0.5441644787788391;0
"Германия будет свободной!""";1;0;1;0;0;0;0;0;0;0;0.0677923788309445;0.4795843362808227;0
Утверждалось, что на ней можно любые мясы и колбасы.;0;0;0;0;0;0;0;1;0;0;0.273822252023907;0.5640864372253418;0
Во времена отдания кредиторской задолженности Родине (сиречь воинской службы) довелось мне полежать в госпитале.;1;0;0;0;0;0;0;0;1;1;0.1228931983458896;0.5816748738288879;0
За всю свою жизнь он и мухи не обидел.;1;0;0;0;0;0;0;0;1;0;0.1308591494693187;0.4517213702201843;0
Вчера произошло беспрецедентное событие.;0;0;0;0;0;0;0;0;0;0;0.0331482216273507;0.1605076789855957;0
Легко отделался, спортсмен);1;0;0;0;0;0;0;0;1;1;0.0229367824552527;0.3543207049369812;0
Надавили, отжали российский сок, слили в мензурку Минкульта, а мякоть принесли на стол к видному российскому пропагандисту на ТВ.;0;0;0;0;0;0;0;3;1;0;0.3029278825672339;0.6334846019744873;0
Я типичный Европеец левых взглядов, и я зашёл на пикабу.;0;0;0;0;0;0;0;0;0;0;0.1038801895900328;0.4680531024932861;0
«Еврика!», - воскликнул он и посвятил в детали побратимов.;0;0;1;0;0;0;0;0;0;0;0.0606278123477826;0.5442003607749939;0
Вот только с Навальным выходит прокол за проколом.;0;0;0;0;0;0;0;0;0;0;0.0595916297158265;0.5907387733459473;0
Её тускло освещала единственная лампочка, качавшаяся на столбе с жутким скрипом.;0;0;0;0;0;0;0;1;1;0;0.2080119651551001;0.3882548809051513;0
Поэтому миновав доблестных абхазских гаишников, снимающих номера с какой-то российской машины, за рулем которой сидела заплаканная девушка невероятно бандитской наружности (не иначе, с богатым криминальным прошлым), мы нашли добрую, располагающую даму, сорока двух зим от роду, которая за минимальный благотворительный взнос, согласилась подобрать нам достойное жилье, недалеко от моря.;1;0;0;0;0;0;0;0;1;1;0.1406294159240634;0.6611300706863403;0
А по старой краске новой краской?;0;0;0;1;0;0;0;0;0;0;0.0812954890603218;1.1920928955078125e-07;0
Про высоту над уровнем моря речи не шло!;1;0;1;0;0;0;0;0;0;0;0.0954163739664132;0.5425874590873718;0
http://www.spb.kp.ru/daily/26616/3633325/;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Мои комментарии;0;0;0;0;0;0;0;0;0;0;0.064394179315953;1.1920928955078125e-07;0
Лезьте, дочку спасайте!;0;0;1;0;0;0;0;0;0;0;0.0654658038135672;0.4248316287994385;0
Он протянул руку, я уже расслабился, но этот нехороший человек сбросил звонок и поехал дальше.;1;0;0;0;0;0;0;0;1;0;0.1157856900404236;0.7134732007980347;0
И, выйдя из дома, я понял, что сегодня будет хорошо только людям выше среднего роста – у них здрасьте расположено повыше.;1;0;0;0;0;0;0;0;0;0;0.1147433324414687;0.5709140300750732;0
Непревзойденный Александр Невский против «не до конца убитого Билла» Дэвида Кэррадайна в пародийном боевике.;1;0;0;0;0;0;0;0;1;0;0.1540607160329171;0.5445079803466797;0
Чуете?;0;0;0;1;0;0;0;1;0;0;-2.220446049250313e-16;0.0;0
И Путин дрогнул.;1;0;0;0;0;0;0;0;0;0;0.0265149846689549;0.2950428128242492;0
Главное, чтоб в голове что-то было.;1;0;0;0;0;0;0;1;0;0;0.0900604403161628;0.4369962215423584;0
Епифанцев - Пол Атрейдес, страдающий навязчивым психозом.;0;0;0;0;0;0;0;0;0;0;0.1054030331204326;0.2753001451492309;0
Но я знаю всех бед причину Без гадалок и аналитик: Бог задумал в тебе мужчину, Ты ж - мужчинообразный нытик.;0;0;0;0;0;0;0;0;1;0;0.1313548768981653;0.6289198398590088;0
Или так:;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Ненавижу я машину: Ту, которую купил.;0;0;0;0;0;0;0;0;0;0;0.1111375251277332;0.3927676677703857;0
- Внимание, Фитомодель возвращается, - подал тревогу наблюдатель.;0;0;0;0;0;0;0;0;0;0;0.09729013620286;0.5633704662322998;0
На входе в квартиру, находящуюся в самом центре Брюсселя, вошедших встретил темнокожий парень в чёрных кожаных штанах, с обнажённым торсом и серьгой в ухе:– Добро пожаловать!;0;0;1;0;0;0;0;0;0;0;0.2097794542048756;0.6730850338935852;0
После трапезы мы с Птеродактилем вернулись в палату.;0;0;0;0;0;0;0;0;0;0;0.0554660025107842;0.5008394718170166;0
«Новичок» вновь доказал свою бесполезность, как и все, произведенное военпромом Мордора – картонные Арматы, ржавые С-300, чадящий авианосец «Адмирал Кузнецов» и минометы Молот, убивающие своих же солдат.;1;0;0;0;0;0;0;1;0;0;0.1474101207093071;0.5493139028549194;0
Против таких аргументов не попрешь.;1;0;0;0;0;0;0;1;0;0;0.0983271498676277;0.3173806071281433;0
