Post tag;Sentence;Ironic
Ирония;Он исследует рынок, умеет вести команду к финансовому успеху, разбирается в продуктовой документации и продвижении.;0
Ирония;Продюсер ведет проект от идеи до релиза и пост-продакшена.;0
Ирония;Если у вас мозг маркетолога и душа геймера — эта работа будет для вас идеальной.;0
Ирония;Информация для тех, кто лучше других умеет считать деньги: начинающие продюсеры игр зарабатывают от 60 000 рублей в месяц.;0
Ирония;Профессионалы с опытом претендуют на зарплаты до 200 000 рублей в месяц.;0
Ирония;Обучение профессии займет у вас 12 месяцев по несколько часов в неделю.;0
Ирония;По окончании курса вы сможете самостоятельно вести проекты и руководить командой, а карьерные консультанты Skillbox подготовят вас к собеседованиям и дадут советы.;0
Ирония;Что посмотреть по теме.;0
Ирония;Сериал «Мистический квест.;0
Ирония;Пир ворона» открывает двери в мир разработки игр.;0
Ирония;В комедии несколько сотрудников студии занимаются созданием нового тайтла.;0
Ирония;Тут и режиссер-эгоцентрик, и жадный продюсер, и нервная ведущая разработчица.;0
Ирония;С помощью гипертрофированных характеров и комичных ситуаций создатели сериала рассказывают о прелестях и муках работы над играми.;0
Ирония;ДЕЛО ТЕХНИКИ;0
Ирония;Ни одна гениальная идея не получит своего воплощения без команды технических специалистов.;0
Ирония;Они создают основу игры — код, на котором все держится и работает.;0
Ирония;Поэтому на запрос «Разработчик игр» на hh.ru отвечает тысячью вакансий по всей стране.;0
Ирония;Зарплата зависит от опыта сотрудника, сложности проекта и города.;0
Ирония;Разработчик игр;0
Ирония;Основные движки, на которых разрабатывают современные игры, — Unity и Unreal Engine 4.;0
Ирония;Первый чаще используют в мобильных и бюджетных VR-проектах, а последний больше подходит для сложных и дорогих трехмерных игр для консолей.;0
Ирония;Бытует мнение, что новичкам следует браться за Unity, а Unreal Engine 4 — оставить профессионалам.;0
Ирония;На деле же это вопрос предпочтений и достойного обучения.;0
Ирония;Чтобы работать на Unity, нужно знать язык программирования C# и сам движок.;0
Ирония;То есть игру придется именно писать.;0
Ирония;Разработчики на Unreal Engine 4 создают игру скорее на самом движке с помощью собственного визуального языка Blueprints.;0
Ирония;Но и здесь придется доделывать что-то руками, поэтому понадобится знать С++.;0
Ирония;А вот с точки зрения востребованности разработчики на Unity выигрывают, но в основном только потому, что небольших мобильных проектов куда больше, чем крупных тайтлов.;0
Ирония;При этом между движками можно свободно кочевать: набраться опыта с мобильными играми на Unity и перейти к AAA-проектам на Unreal Engine 4.;0
Ирония;Чтобы учиться на разработчика игр, не нужен базовый уровень программирования и специфические знания.;0
Ирония;Все, что понадобится в работе, вы можете пройти на онлайн-курсе.;0
Ирония;"Выбирайте, на каком движке хотите работать, и осваивайте профессию с нуля до уровня Middle:• Профессия «Разработчик игр на Unity»;• Профессия «Разработчик игр на Unreal Engine 4».";0
Ирония;По итогам обучения в вашем портфолио будет несколько готовых проектов и внушительный список компетенций.;0
Ирония;С таким резюме можно смело искать работу.;0
Ирония;Что почитать по теме.;0
Ирония;Чтобы разобраться в движках, языках программирования, фреймворках и библиотеках, почитайте вот эту статью.;0
Ирония;В ней подробно и понятно расписано, какие технологии и инструменты используют разработчики игр и чем они отличаются.;0
Ирония;РИСУЕМ ИГРЫ ;0
Ирония;Вряд ли вы перепутаете Геральта и Хитмана.;0
Ирония;И с трудом сможете оторваться от любования фантастической природой Ghost of Tsushima.;0
Ирония;Визуальный стиль игры — одна из определяющих ее особенностей.;0
Ирония;Ни один игровой проект не обходится без художников.;0
Ирония;Где-то достаточно специалистов по 2D, но над AAA-играми всегда работают 3D-художники.;0
Ирония;2D-художник;0
Ирония;Среди рабочих задач 2D-художника в геймдеве может быть как полноценная проработка плоского мира в инди-проекте, так и интерфейс в самом ожидаемом высокобюджетном проекте года.;0
Ирония;Нередко именно эти специалисты создают концепт-арты и прорабатывают персонажей, которых потом сделают объемными 3D-художники.;0
Ирония;3D-художник;0
Ирония;Специалисты по 3D в геймдеве отвечают за окружение, моделируют здания, ландшафты и создают персонажей.;0
Ирония;Все это делают в нескольких программах: Autodesk Maya, ZBrush, Houdini, Foundry Mari, Substance Painter, Photoshop и других.;0
Ирония;Для представителей этой профессии важно разбираться в разных инструментах, потому что нет универсальной утилиты, в которой можно сделать все и сразу.;0
Ирония;В этой же сфере можно выделить 3D-аниматора и создателя спецэффектов.;0
Ирония;Первый заставляет двигаться людей, животных и технику, создает массовые анимации и эмоции на лицах персонажей.;0
Ирония;Второй анимирует взрывы, разрушения, погодные условия, движение жидкостей и травы.;0
Ирония;3D-художники, аниматоры и создатели спецэффектов не ограничены только геймдевом.;0
Ирония;Эти специалисты востребованы в кино, рекламе и создании сайтов.;0
Ирония;Неважно, умеете ли вы рисовать от руки и знакомы ли с программами для работы с графикой, пройдите курс по интересной вам специальности в Skillbox.;0
Ирония;"Программы построены так, что даже новичок освоит профессию без дополнительных навыков:• Профессия «Концепт-художник с нуля до PRO»;• Профессия «2D-художник»;• Профессия «3D-художник»;• Профессия «3D-аниматор»;• Профессия «Создатель спецэффектов».";0
Ирония;ИГРЫ БЕЗ БАГОВ;0
Ирония;Игра — сложный, многоуровневый механизм, который невозможно сразу собрать без ошибок.;0
Ирония;Чтобы их обнаружить, в студиях обычно есть отдел тестирования и аналитики.;0
Ирония;Самые крупные ошибки чаще всего исправляют еще на этапе первого бета-тестирования, дорабатывают их на последующем и финальном альфа-тесте.;0
Ирония;Но иногда бывает так, что игра просто не зашла: пользователи не вовлекаются, быстро покидают ее или жалуются на слишком сложный или однообразный геймплей.;0
Ирония;На этом этапе проект способны спасти аналитики и дополнительный бюджет.;0
Ирония;Игровой аналитик;0
Ирония;Этот специалист автоматизирует сбор игровых метрик, систематизирует данные и придумывает, как повысить интерес к проекту, улучшая механику или экономику игры.;0
Ирония;При этом делает он это, конечно, не вручную.;0
Ирония;В арсенале игрового аналитика масса инструментов и машинное обучение.;0
Ирония;Аналитики наравне с гейм-дизайнерами и художниками влияют на эмоции игроков.;0
Ирония;В их компетенции оценка успешности проекта, сбор и интерпретация данных и те самые изменения, которые способны сделать проект лучше и привлекательнее для геймеров.;0
Ирония;Обучиться профессии игрового аналитика реально всего за полтора года.;0
Ирония;По результатам вы будете знать, как разрабатывать концепцию и экономику игры, использовать SQL и Python для сбора данных, а machine learning — для их анализа.;0
Ирония;В сфере игр хватает и других специальностей.;0
Ирония;Например, эксперты по звуку и композиторы, актеры, которые дарят героям свою внешность, и те, кто занимается озвучкой.;0
Ирония;Если хотите посвятить себя индустрии игр или мечтаете работать над новой Death Stranding или GTA, но так и не определились с профессией, попробуйте все и сразу.;0
Ирония;Пройдите бесплатный курс «Введение в игровую индустрию».;0
Ирония;Он состоит из 17 онлайн-уроков и познакомит вас с полным циклом производства игр, подробно расскажет о специальностях в геймдеве и поможет понять, чем хотите заниматься именно вы.;0
Ирония;Пока вводный курс бесплатный, но это ненадолго.;0
Ирония;А на все остальные курсы в Skillbox, связанные с индустрией игр, действует скидка 50%.;0
Ирония;ПОСМОТРЕТЬ ВСЕ КУРСЫ;0
Ирония;;0
Ирония;"В ответ на пост ""Оголтелый расизм""";0
Ирония;Оголтелый расизм;0
Ирония;"Сначала выпуск новостей под ""Гудбай Америка"", вместо титров ""Брат 2"" на Первом, теперь анонс ""Ширли-мырли"" на пятом на завтра.";0
Ирония;Пруф https://www.5-tv.ru/films/1507713/;0
Ирония;;0
Ирония;Смешно об элитах или Смешно про улитки;0
Ирония;Говорят, что самым популярным вопросом, который сограждане подготовили для прямой речи с Президентаом было сакраментальное: «Когда же снимут Чубайса!?»…;0
Ирония;Вот хотя бы один из вопрошавших задумался: как же Чубайса могут снять, ежели его еще не повесили!?;1
Ирония;Больше скажу- повесить его ой как непросто, ибо он у нас в Мордоре, самая что ни на есть элита… ;0
Ирония;Конечно, въедливый соотечественник с треском поскребя стриженый затылок резюмирует, что зеленоглазый ленивый котэ размером с холодильник «Морозко», или плюшевый собакирен в складчатой шкуре на два размера больше- это настоящая элита, а Толян просто наглая рыжая морда, но факты… ;0
Ирония;Против фактов, сограждане, не попрешь: Анатолий Борисыч самая натуральная элита… ;0
Ирония;Причем, что особо забавно- национальная, призванная блюсти наши с вами интересы…;0
Ирония;Ага… А элиты обижать нельзя, с ними надо мякше, тоньше и деликатней, ибо эта сволочь часто и охотно паскудничает, но призвать ее к ответу почти нереально…;0
Ирония;Если же ее (элиту) прижать к теплой стенке, то она запросто устраивает похохотать, да так, что мало никому не покажется…;0
Ирония;Все крупные потрясения на Руси издавна исходили от нее, родимой.;0
Ирония;Естественно, пытливый знаток истории сейчас меня к позорному столбу пригвоздит, заметив иронично:-Известное дело, это бояре плохие, а царь- хороший…;1
Ирония;Сказано это будет таким тоном («сарказм» есть высшая форма иронии, ага), что даже до самого альтернативноодаренного школоло дойдет, что на самом-то деле царь в данной ситуации- ничуть не лучше бояр, ибо они- одна команда…;1
Ирония;Ну да… Одна команда… Совсем, как на корабле.;1
Ирония;Царь в этой команде- непосредственно капитан Колумб.;0
Ирония;Он жаждет странного, например, Америку открыть, а матросы- они же бояре, те хотят в ближайший порт- в кабак, ром трескать, да девок портовых тискать…;0
Ирония;Команда- то, как видим, одна, цели- разные.;0
Ирония;Если любой правитель, будь то великий князь, император, генсек (прости господи), или еще какой другой набоб хочет сохранить свое государство, и обустроить его наилучшим образом, пусть даже он это понимает в самом преступном виде, то элиты за редким исключением, стремятся исключительно к наилучшему обустройству собственного быта, и плевать они хотели на государственные интересы с высокой колокольни (а лучше с низкой- плевок долетит быстрей)…;1
Ирония;Тезис о том, что иной правитель вполне себе искренне может заботиться о народе, опять же вызовет лишь кривую ухмылку, а меж тем, в истории таких примеров предостаточно:Взять, к примеру, Бориса-царя (в хорошем смысле, не того который Ельцин, а Годунова).;1
Ирония;Известно, что он, во время великого голода начала семнадцатого века не только раздавал народишку деньги, но и бесплатно снабжал голодающих мукой и зерном, для чего открыл царские амбары…;0
Ирония;Борис ввел фиксированные цены на хлеб и строго преследовал тех, кто эти цены взвинтил…;0
Ирония;А что элиты?;0
Ирония;Если верить летописцу (а не верить ему оснований нет, чай не «Новая газета»), элиты тоже думали о народе… ;1
Ирония;Правда по- своему…«у знатных господ, а также во всех монастырях и у многих богатых людей амбары были полны хлеба, часть его уже погнила от долголетнего лежания, и они не хотели продавать его»;0
Ирония;Кончилось все хреново- Великой смутой…;0
Ирония;Опять же, кто ее устроил?;0
Ирония;Ну не Борис же Годунов?;0
Ирония;Поляки, говорите… А поляков, кто пограби… тьфу ты!;1
Ирония;Конечно же- поправить отсталой Россией призвал, да еще и шведов, заодно?;0
Ирония;Шайка, прозванная впоследствии «семибоярщиной», состоявшая из представителей политической элиты… ;0
Ирония;Фамилии всем знакомы: Трубецкие, Мстиславские, Воротынские, Шереметовы, а также Голицыны с Оболенскими…;0
Ирония;Ну и Романовы… Ага… Те самые…;1
Ирония;Со стороны церкви эту банду крышевал патриарх Филарет (в девичестве Федор Романов)…;0
Ирония;Бояре Бельские и Шуйские в процессе эволюционного отбора отсеялись, как не оправдавшие надежд…;1
Ирония;А отбор был жесткий.;0
Ирония;Элитные бояре в процессе борьбы за власть так увлеклись интеллектуально чморя конкурентов, что в конце- концов довели ситуацию до абсурда: страной одновременно правили три государя: Василий Шуйский, Недимон (Лжедмитрий) и Владислав (пшек), а паству окучивали два Патриарха- Гермоген и Филарет…;0
Ирония;Вот народ и засмущался.;1
Ирония;Да при таких раскладах любой смутится!;1
Ирония;Потом, слава богу, разобрались, а то сейчас всей страной пшекали бы по- польски…;0
Ирония;Опять же, после того, как засевших в Кремле поляков всем народом, под предводительством гражданина Минина и князя Пожарского, с большим трудом, отправили прогуляться по холодку выяснилось, что бояре- коллаборационисты вовсе никакие не алчные, беспринципные ублюдки, а наоборот, спасители Родины, и не сотрудничали они с оккупантами, а в плену находились, где гадили захватчикам в меру сил…;1
Ирония;В суп, наверное, плевали… Смута жещь… Время такое… ;1
Ирония;Понятное дело, что за ее организацию никто на воротах повешен не был, за исключением трехлетнего сына второго Недимона, по прозвищу «Ворёнок», который, по-видимому эту самую смуту и замутил…;1
Ирония;Ни одно элитное животное, к сожалению, не пострадало.;0
Ирония;Освобожденные из «польского плена» бояре вновь озаботились судьбой страны, которой буквально некому править, ибо потомки Рюрика все перевелись…;1
Ирония;То, что значительное количество этих самых потомков, включая и всенародно избранного царя- Василия Шуйского они же сами и перевели, никого не напрягало…;0
Ирония;Царем выбрали худородного Мишу Романова…;0
Ирония;Не самый, кстати, плохой вариант для страны, учитывая то, что высокие шансы на русский престол имел, к примеру, шведский прынц Карл Филипп…;0
Ирония;Правда и князь- освободитель Дмитрий Пожарский тоже претендовал на трон, он, кстати, самый, что ни на есть, Рюрикович, но представителями «лучшей части народа» он был признан недостойным:-Ты хто?;0
Ирония;Освободитель!?;0
Ирония;Вот и освободи место для нового царя!;1
Ирония;Впрочем, к выбранной фамилии элита особого почтения не проявляла и зачастую с легкостью меняла правителя путем дворцовых переворотов: кого зарежут, кого отравят, кого табакеркой по жбану благословят, или скажем собственным шарфиком, как Березовского удавят…;1
Ирония;После чего, разумеется, назначают нового, удобного для себя правителя, с которым пируют на весь мир:«Смотрите, как они все веселятся…;0
Ирония;Это потому, что они убили моего папу…»;0
Ирония;Анна 8 лет, дочь Павла Первого…;0
Ирония;А что народ?;0
Ирония;А народ, он конечно время от времени пытался проникнуться непростой политической ситуацией:;1
Ирония;— А хто здеся власть?- хмуро сдвинув брови, интересовался он.;0
Ирония;— Мы тута власть- с готовностью откликалась элита,- Расходись норот, здесь нет ничего интересного!;0
Ирония;Просто старый государь пришел в полную негодность и мы тебе нового, с иголочки, подобрали!;1
Ирония;Если же по- тихому поменять правителя не получалось, то элитники вполне могли замутить небольшую революцию с блейк-джеком и фрейлинами, такую, например, как восстание декабристов.;0
Ирония;Общеизвестно, что декабристы пострадали исключительно за народ…;1
Ирония;Ага… Ночами не спали, все думали, как жизнь трудящимся облегчить: «Мы хорошо поели, изрядно поговорили и наинтриговались до государственной измены».;1
Ирония;Основной целью восстания, однако, почему- то декларировалось даже не освобождение крепостных, а полное уничтожение рода Романовых.;0
Ирония;На трон должен был взойти диктатор…;0
Ирония;Путем голосования диктатором был выбран князь Трубецкой…;0
Ирония;Выборный диктатор…;1
Ирония;Просто лютый писец какой- то!;0
Ирония;Правда в этот раз полноценную смуту Трубецкому замастырить не удалось, из известных персонажей его поддержали лишь Оболенский с Голицыным…;0
Ирония;Не семибоярщина, прямо скажем… ;0
Ирония;Так, трехчлен какой- то невнятный.;0
Ирония;Понятное дело, что царь Николай Первый отреагировал на эти эскапады в целом адекватно, повесив нахрен пятерых карбонариев.;0
Ирония;За эту невинную шалость свинскую выходку его обидно дразнили «палкиным», «сатрапом» и «скотиной»:«С ног до головы детина,С головы до ног скотина…»;0
Ирония;Вменялось самодержцу жестокое обращение с «онижедетями»…;0
Ирония;Забавно то, что при ликвидации беспорядков никого из декабристов не убили, хотя народу положили преизрядно: более двухсот солдат и девятьсот человек «черни» (официальный термин из полицейского отчета).;0
Ирония;Впрочем, такие мелочи мало кого волновали, и ширнармассы вовсю сочувствовали «несчастным декабристам», особенно тем, кого сослали в эту страшную Сибирь, и особенно после того, как узнали что к ним туда еще и жены приехали…;1
Ирония;И это, при всем при том, что настоящую элиту, замутившую эти беспорядки, царь, по сути, не тронул.;0
Ирония;Да, развешанные на просушку пятеро карбонариев были дворянами, но надо заметить, что принадлежность организма к дворянскому сословию, отнюдь не делала его настоящей элитой.;0
Ирония;Они там между собой тоже на касты делились.;0
Ирония;Нищий студент Родион Романович Раскольников, к примеру, тоже дворянином считался…;0
Ирония;Итак, вместо диктатора князя Трубецкого, был повешен господин Пестель, как главарь заговорщиков, который, к слову, вообще в восстании не участвовал (его, как Леху Навального, взяли накануне).;0
Ирония;Вместо князя Оболенского, убивавшего генерала Милорадовича повесили господина Каховского, который по скудоумию тоже подписался на ликвидацию сатрапа… ;0
Ирония;Причина веская- Каховский хотел убить генерала, а Оболенский оказывается не хотел…;1
Ирония;Он хотел зарезать лошадь… ;0
Ирония;Блин, скотинка-то ему чем помешала?;0
Ирония;Живодер, хренов!;1
Ирония;Заговорщики отделались легкой необременительной каторгой, которую вскоре всем и вовсе заменили ссылкой.;1
Ирония;Причина здесь вовсе не в небывалом человеколюбии Палкина, ведь вспомните, заговорщики своей целью ставили убийство всех… подчеркиваю- всех Романовых.;0
Ирония;Он жаждал мести, но, как умный человек прекрасно осознавал возможные последствия жестокой расправы с элитой.;0
Ирония;Поэтому он до самого конца своего правления, пока и не помер во время Крымской войны, не рисковал начинать давно перезревшие реформы крепостного права опасаясь разозлить элиту, не одобрявшую такого свободомыслия… ;0
Ирония;Все правильно: жить- то хочется… ;0
Ирония;Обстоятельства непреодолимой силы, так сказать…;1
Ирония;Легкость, с которой элита по собственному разумению дрессировала правителей сыграла с ней в конце- концов злую шутку… ;1
Ирония;Когда очередной государь Николай Второй Александрович перестал соответствовать высоким требованиям дворянства, и его слегка свергли, никто из элиты, по большому счету, не напрягся.;0
Ирония;Даже члены царской фамилии чувствовали себя превосходно: Великий князь Михаил Александрович с улыбкой ученика коррекционного класса и огромным красным бантом шлялся по улицам: «Ура, нас свергли!»…;0
Ирония;К слову сказать, каким бы отвратительным правителем не был любитель Матильды, то либеральное бельжо, которое пришло ему на смену оказалось стократ хуже:;0
